count,left,right
1,5041.0,5385.5
0,5385.5,5730.0
4,5730.0,6074.5
21,6074.5,6419.0
39,6419.0,6763.5
88,6763.5,7108.0
138,7108.0,7452.5
239,7452.5,7797.0
373,7797.0,8141.5
523,8141.5,8486.0
351,8486.0,8830.5
841,8830.5,9175.0
1024,9175.0,9519.5
1040,9519.5,9864.0
1148,9864.0,10208.5
565,10208.5,10553.0
992,10553.0,10897.5
883,10897.5,11242.0
322,11242.0,11586.5
536,11586.5,11931.0
197,11931.0,12275.5
302,12275.5,12620.0
90,12620.0,12964.5
133,12964.5,13309.0
40,13309.0,13653.5
62,13653.5,13998.0
19,13998.0,14342.5
14,14342.5,14687.0
10,14687.0,15031.5
4,15031.5,15376.0
