x,z
0,0.8578753586009632
1,0.3611480711852505
2,0.2489638705497893
3,0.5342823767177506
4,0.254929785742001
5,0.8436033148372154
6,0.4702428635728235
7,0.8791325489763647
8,0.7354446856474249
9,0.07663668803878976
10,0.243583556936518
11,0.9271859660813699
12,0.871552595072643
13,0.022440796161324217
14,0.9449923279962922
15,0.5180782898300554
16,0.06474962607724843
17,0.11381139332896051
18,0.8716224245878684
19,0.5334518688687487
20,0.14664618143154973
21,0.6926193788473209
22,0.7070024869151846
23,0.16832333536198818
24,0.5113846825991244
25,0.34018660037545534
26,0.910097824654475
27,0.2171122392559477
28,0.31918307926562905
29,0.7584095257576714
30,0.8474491828318157
31,0.6606157433706537
32,0.7215963673051985
33,0.5294201194129533
34,0.22689066454162965
35,0.9622853976131182
36,0.3764712155919443
37,0.9067685336264159
38,0.5368575630419998
39,0.26048176187980043
40,0.7442009272625562
41,0.7725575149008044
42,0.7470510833990031
43,0.07795352399642141
44,0.78677140917822
45,0.03265371580527843
46,0.4842362949234381
47,0.2606072877333492
48,0.7272216572690335
49,0.01604658721869734
50,0.2612063237952619
51,0.604705694593321
52,0.4695244851718394
53,0.8946208021740127
54,0.10745424085211552
55,0.03495029782939607
56,0.12752654272642205
57,0.7460529773494264
58,0.12685172972648662
59,0.25547755867690514
60,0.8664696738650383
61,0.6452396742658328
62,0.0906412102116726
63,0.5116154332023186
64,0.9217475157512248
65,0.08860832900883142
66,0.16330644558251384
67,0.4723187636350936
68,0.22693536996284147
69,0.13085796295981678
70,0.2543938285407181
71,0.2715222477128364
72,0.5567629242927988
73,0.8451224613094417
74,0.29111484307765334
75,0.4312195224879367
76,0.47058337714906606
77,0.10524409779991117
78,0.914567835809242
79,0.7298978470696241
80,0.6280241173994329
81,0.23279009979881027
82,0.7166749452961027
83,0.07702746871176136
84,0.24088821350583545
85,0.7516410579987399
86,0.1554380699359318
87,0.10762578011961599
88,0.5240075601376796
89,0.3494243416653846
90,0.7128753144427629
91,0.5204861406293085
92,0.012632326910446579
93,0.15776201930507472
94,0.6930073953834897
95,0.14948190068001943
96,0.5250735824711663
97,0.6322472911941915
98,0.2965212775690067
