w,y
0,0.0899297999812968
1,0.482627215391638
2,0.4992333411299479
3,0.09758017016329334
4,0.6563985538332612
5,0.3708218160948813
6,0.6804784387784713
7,0.992165935809546
8,0.9176085930846004
9,0.897552846805786
10,0.3009429071179983
11,0.41792422022667997
12,0.6943328493322739
13,0.3229679078602976
14,0.03234849767784853
15,0.8346463022410688
16,0.40302973262679886
17,0.2353078048603544
18,0.6627375934442878
19,0.241463697024219
20,0.01859476671281568
21,0.22125403998044935
22,0.010330388711741745
23,0.5436053703672096
24,0.9200742545731421
25,0.6306111061082608
26,0.23909711707684245
27,0.4903726433825215
28,0.03111506000225306
29,0.8121848534019581
30,0.912136005823037
31,0.8644158446149964
32,0.6796190523372604
33,0.0307263724129897
34,0.08476673708793714
35,0.5135296060665734
36,0.770017011481599
37,0.5140687782617349
38,0.361320481835817
39,0.6335670127398861
40,0.18677113348080077
41,0.7250915990341632
42,0.11792748039614298
43,0.4347050075595219
44,0.8291615278481924
45,0.004905837520628342
46,0.02817329740231933
47,0.9531765514946637
48,0.3151064865973294
49,0.19166028129452595
50,0.6193158158147567
51,0.30671793969703287
52,0.18571248230195736
53,0.6836273995158264
54,0.8338244595600907
55,0.1343623039777182
56,0.3924444806131626
57,0.6857352304459551
58,0.47432437012285145
59,0.3098432413185729
60,0.9552530180342936
61,0.055469286418072916
62,0.9695975987979601
63,0.2727552056100795
64,0.9426891694979144
65,0.24707629386810803
66,0.1151148961702837
67,0.48275044107899956
68,0.3439846350098653
69,0.34225951519459863
70,0.3136405557548838
71,0.5694344798112478
72,0.9782687598935486
73,0.051063258063251404
74,0.3697745875439966
75,0.7242557032542987
76,0.3175399468836928
77,0.8684016831830582
78,0.07686532880202279
79,0.7605666155993293
80,0.9877044581925298
81,0.27969521663610974
82,0.6755472552807581
83,0.054167918100593515
84,0.7559403562491094
85,0.02333552074653278
86,0.760228124995462
87,0.26902889800821794
88,0.012840036530248677
89,0.9382075848647322
90,0.3631702599879989
91,0.3715103204694259
92,0.1142302130618209
93,0.8512557497747587
94,0.7553811844842571
95,0.941299443131595
96,0.4602630734519957
97,0.2930879759959868
98,0.9693488564189198
