count,left,right
8,5625.0,5958.333333333333
16,5958.333333333333,6291.666666666667
35,6291.666666666667,6625.0
52,6625.0,6958.333333333333
133,6958.333333333333,7291.666666666666
191,7291.666666666666,7625.0
353,7625.0,7958.333333333333
443,7958.333333333333,8291.666666666666
304,8291.666666666666,8625.0
759,8625.0,8958.333333333332
864,8958.333333333332,9291.666666666666
1077,9291.666666666666,9625.0
582,9625.0,9958.333333333332
1102,9958.333333333332,10291.666666666666
1022,10291.666666666666,10625.0
514,10625.0,10958.333333333332
799,10958.333333333332,11291.666666666666
343,11291.666666666666,11625.0
514,11625.0,11958.333333333332
236,11958.333333333332,12291.666666666666
278,12291.666666666666,12625.0
90,12625.0,12958.333333333332
141,12958.333333333332,13291.666666666666
51,13291.666666666666,13625.0
55,13625.0,13958.333333333332
15,13958.333333333332,14291.666666666666
6,14291.666666666666,14625.0
8,14625.0,14958.333333333332
4,14958.333333333332,15291.666666666666
4,15291.666666666666,15625.0
