w,y
0,0.5589281011356142
1,0.6787637591040895
2,0.5462585942522333
3,0.010309123451999858
4,0.5693213976512388
5,0.9284284715770302
6,0.22259141231781665
7,0.3898199973957551
8,0.194705600893615
9,0.14553531553291088
10,0.8175169796979267
11,0.3897159509911047
12,0.040614842005174956
13,0.4946477259409935
14,0.4116709065780889
15,0.99072630643145
16,0.21406561768084942
17,0.9168044699715022
18,0.6404103721897941
19,0.5515424327376438
20,0.8077544834367513
21,0.454064942450752
22,0.04452279768087486
23,0.3848265505683591
24,0.40076290292604233
25,0.5656057618343308
26,0.9054134199967975
27,0.4696233530803653
28,0.07348062098202324
29,0.8356680852963597
30,0.36179939728651134
31,0.37869672147903555
32,0.19715363906506989
33,0.056661921071584964
34,0.3207583668585494
35,0.16044563641805887
36,0.17740892435679445
37,0.6599929641025198
38,0.048049690042534676
39,0.4824369043987382
40,0.40630291919013095
41,0.8626834995983035
42,0.3509468203476602
43,0.8172246111558048
44,0.9088861067347729
45,0.6996185479383439
46,0.9513896945821012
47,0.8310095317737334
48,0.5579716000944215
49,0.31925486852266904
50,0.988086368774343
51,0.4218242073099333
52,0.27474070351808977
53,0.5348890193967771
54,0.5832630932028057
55,0.04631218739833698
56,0.33301373406703594
57,0.6440880459015287
58,0.06308307410539027
59,0.0728029482618503
60,0.7414600302071019
61,0.955644527072714
62,0.7303234128803926
63,0.9032667489376933
64,0.6907158928262375
65,0.2964252870346882
66,0.053721214821632945
67,0.517866408833278
68,0.22132481343419796
69,0.009741078575679518
70,0.760469088700635
71,0.9132058110923874
72,0.5936097603091758
73,0.6023719541801069
74,0.5966614179447012
75,0.629007888464358
76,0.3220323373005295
77,0.2491415696590047
78,0.4550625657040054
79,0.1878376334095001
80,0.47428897243006796
81,0.8219407094602483
82,0.16038859141010142
83,0.8086181579316817
84,0.6293399194553538
85,0.974358652371691
86,0.4493647776769939
87,0.19707117339439384
88,0.8387617220859519
89,0.08358855529229536
90,0.5861407438633671
91,0.5648457527162126
92,0.04225943239703989
93,0.5280309833294761
94,0.6132161961376014
95,0.28398194973893975
96,0.6508701000714469
97,0.8620275500456472
98,0.4538499912975854
