count,left,right
1,4761.0,5174.333333333333
0,5174.333333333333,5587.666666666667
7,5587.666666666667,6001.0
21,6001.0,6414.333333333333
34,6414.333333333333,6827.666666666666
125,6827.666666666666,7241.0
187,7241.0,7654.333333333333
347,7654.333333333333,8067.666666666666
781,8067.666666666666,8481.0
715,8481.0,8894.333333333332
876,8894.333333333332,9307.666666666666
1052,9307.666666666666,9721.0
1158,9721.0,10134.333333333332
1097,10134.333333333332,10547.666666666666
1004,10547.666666666666,10961.0
854,10961.0,11374.333333333332
645,11374.333333333332,11787.666666666666
443,11787.666666666666,12201.0
308,12201.0,12614.333333333332
162,12614.333333333332,13027.666666666666
46,13027.666666666666,13441.0
67,13441.0,13854.333333333332
39,13854.333333333332,14267.666666666666
20,14267.666666666666,14681.0
1,14681.0,15094.333333333332
3,15094.333333333332,15507.666666666666
3,15507.666666666666,15921.0
1,15921.0,16334.333333333332
1,16334.333333333332,16747.666666666664
1,16747.666666666664,17161.0
