count,left,right
4,5329.0,5680.566666666667
3,5680.566666666667,6032.133333333333
12,6032.133333333333,6383.700000000001
49,6383.700000000001,6735.266666666666
86,6735.266666666666,7086.833333333334
149,7086.833333333334,7438.400000000001
234,7438.400000000001,7789.966666666667
388,7789.966666666667,8141.533333333334
543,8141.533333333334,8493.1
711,8493.1,8844.666666666668
467,8844.666666666668,9196.233333333334
938,9196.233333333334,9547.800000000001
1095,9547.800000000001,9899.366666666669
1102,9899.366666666669,10250.933333333334
535,10250.933333333334,10602.5
996,10602.5,10954.066666666668
825,10954.066666666668,11305.633333333335
361,11305.633333333335,11657.2
560,11657.2,12008.766666666666
403,12008.766666666666,12360.333333333334
131,12360.333333333334,12711.900000000001
201,12711.900000000001,13063.466666666667
60,13063.466666666667,13415.033333333335
85,13415.033333333335,13766.600000000002
19,13766.600000000002,14118.166666666668
29,14118.166666666668,14469.733333333335
4,14469.733333333335,14821.300000000001
6,14821.300000000001,15172.866666666669
1,15172.866666666669,15524.433333333334
2,15524.433333333334,15876.000000000002
