count,left,right
1,4761.0,5123.133333333333
0,5123.133333333333,5485.266666666666
1,5485.266666666666,5847.4
8,5847.4,6209.533333333333
32,6209.533333333333,6571.666666666666
54,6571.666666666666,6933.8
101,6933.8,7295.933333333333
182,7295.933333333333,7658.066666666667
288,7658.066666666667,8020.2
420,8020.2,8382.333333333332
625,8382.333333333332,8744.466666666667
861,8744.466666666667,9106.6
1039,9106.6,9468.733333333334
1094,9468.733333333334,9830.866666666667
551,9830.866666666667,10193.0
1113,10193.0,10555.133333333333
957,10555.133333333333,10917.266666666666
861,10917.266666666666,11279.4
362,11279.4,11641.533333333333
575,11641.533333333333,12003.666666666666
367,12003.666666666666,12365.8
125,12365.8,12727.933333333334
192,12727.933333333334,13090.066666666666
73,13090.066666666666,13452.2
66,13452.2,13814.333333333334
26,13814.333333333334,14176.466666666667
9,14176.466666666667,14538.6
11,14538.6,14900.733333333334
4,14900.733333333334,15262.866666666667
1,15262.866666666667,15625.0
