count,left,right
3,5184.0,5540.4
4,5540.4,5896.8
17,5896.8,6253.2
27,6253.2,6609.6
73,6609.6,6966.0
108,6966.0,7322.4
177,7322.4,7678.799999999999
288,7678.799999999999,8035.2
436,8035.2,8391.6
623,8391.6,8748.0
833,8748.0,9104.4
1021,9104.4,9460.8
1065,9460.8,9817.2
576,9817.2,10173.599999999999
1121,10173.599999999999,10530.0
968,10530.0,10886.4
835,10886.4,11242.8
363,11242.8,11599.2
567,11599.2,11955.599999999999
211,11955.599999999999,12312.0
285,12312.0,12668.4
188,12668.4,13024.8
75,13024.8,13381.199999999999
66,13381.199999999999,13737.599999999999
31,13737.599999999999,14094.0
19,14094.0,14450.4
7,14450.4,14806.8
7,14806.8,15163.199999999999
2,15163.199999999999,15519.599999999999
3,15519.599999999999,15876.0
