count,left,right
8,5625.0,5958.333333333333
13,5958.333333333333,6291.666666666667
24,6291.666666666667,6625.0
61,6625.0,6958.333333333333
128,6958.333333333333,7291.666666666666
188,7291.666666666666,7625.0
282,7625.0,7958.333333333333
470,7958.333333333333,8291.666666666666
334,8291.666666666666,8625.0
748,8625.0,8958.333333333332
931,8958.333333333332,9291.666666666666
1034,9291.666666666666,9625.0
541,9625.0,9958.333333333332
1138,9958.333333333332,10291.666666666666
995,10291.666666666666,10625.0
494,10625.0,10958.333333333332
818,10958.333333333332,11291.666666666666
338,11291.666666666666,11625.0
562,11625.0,11958.333333333332
192,11958.333333333332,12291.666666666666
302,12291.666666666666,12625.0
99,12625.0,12958.333333333332
157,12958.333333333332,13291.666666666666
40,13291.666666666666,13625.0
51,13625.0,13958.333333333332
26,13958.333333333332,14291.666666666666
9,14291.666666666666,14625.0
12,14625.0,14958.333333333332
2,14958.333333333332,15291.666666666666
2,15291.666666666666,15625.0
