count,left,right
10,5776.0,6112.666666666667
18,6112.666666666667,6449.333333333333
33,6449.333333333333,6786.0
82,6786.0,7122.666666666667
148,7122.666666666667,7459.333333333334
243,7459.333333333334,7796.0
390,7796.0,8132.666666666667
568,8132.666666666667,8469.333333333334
350,8469.333333333334,8806.0
850,8806.0,9142.666666666668
1020,9142.666666666668,9479.333333333334
1075,9479.333333333334,9816.0
525,9816.0,10152.666666666668
1082,10152.666666666668,10489.333333333334
1003,10489.333333333334,10826.0
462,10826.0,11162.666666666668
694,11162.666666666668,11499.333333333334
278,11499.333333333334,11836.0
477,11836.0,12172.666666666668
168,12172.666666666668,12509.333333333334
261,12509.333333333334,12846.0
77,12846.0,13182.666666666668
100,13182.666666666668,13519.333333333334
20,13519.333333333334,13856.0
35,13856.0,14192.666666666668
9,14192.666666666668,14529.333333333334
5,14529.333333333334,14866.0
9,14866.0,15202.666666666668
5,15202.666666666668,15539.333333333334
2,15539.333333333334,15876.0
