count,left,right
9,5625.0,5966.7
8,5966.7,6308.4
32,6308.4,6650.1
59,6650.1,6991.8
98,6991.8,7333.5
168,7333.5,7675.2
299,7675.2,8016.9
456,8016.9,8358.6
610,8358.6,8700.3
862,8700.3,9042.0
467,9042.0,9383.7
1087,9383.7,9725.4
1120,9725.4,10067.099999999999
1069,10067.099999999999,10408.8
549,10408.8,10750.5
965,10750.5,11092.2
387,11092.2,11433.9
629,11433.9,11775.599999999999
450,11775.599999999999,12117.3
160,12117.3,12459.0
243,12459.0,12800.7
85,12800.7,13142.4
83,13142.4,13484.099999999999
38,13484.099999999999,13825.8
39,13825.8,14167.5
14,14167.5,14509.199999999999
6,14509.199999999999,14850.9
3,14850.9,15192.6
3,15192.6,15534.3
1,15534.3,15876.0
