w,y
0,0.31788886390585447
1,0.19429944094745788
2,0.18033937010713885
3,0.21613641872298783
4,0.2531440062970236
5,0.9042997705338537
6,0.6991210591051684
7,0.8156389001168771
8,0.918582948398131
9,0.7184105589386186
10,0.3410643017030721
11,0.9681599410066691
12,0.24051622598459999
13,0.638781160289903
14,0.07192846529124142
15,0.978117060211129
16,0.173827117289296
17,0.14035057732813028
18,0.08989700058881189
19,0.6048576010401205
20,0.7780427437299171
21,0.837387935876055
22,0.5935985854010929
23,0.7768052135913587
24,0.8553222027873713
25,0.6596509077623587
26,0.6815800680800993
27,0.6241383663415491
28,0.47619838779536394
29,0.8915859031205468
30,0.25838347635620273
31,0.111647541918944
32,0.9816045549241994
33,0.5110020014740775
34,0.03820016181104391
35,0.7145507642041483
36,0.46866295137422875
37,0.7529084307743945
38,0.6091453220302687
39,0.6474297352783233
40,0.34290719544615433
41,0.7197129494819968
42,0.04951623275235917
43,0.13008168256571107
44,0.2510559216854814
45,0.16073663294154517
46,0.7719682165702183
47,0.0539649542948446
48,0.5961506845674345
49,0.2520078662876324
50,0.11236248085235667
51,0.19904932101945072
52,0.8808159541734203
53,0.32155691789312535
54,0.6771101311816006
55,0.8432642463494697
56,0.3245944738069848
57,0.9859396128267427
58,0.6161573100925533
59,0.2053717948783187
60,0.5577569844829707
61,0.09047659499611183
62,0.7983265407479536
63,0.666973367700101
64,0.7066800880995163
65,0.17870277416352054
66,0.3315494482657452
67,0.13049225818046273
68,0.8548315036998778
69,0.9557791143805474
70,0.9925969221581273
71,0.1873568643586604
72,0.6885976331079867
73,0.3561265445423163
74,0.9092324601143348
75,0.9942422795161118
76,0.11863288207599787
77,0.37730014516568844
78,0.27228520583038496
79,0.8851107153331772
80,0.8051065760472393
81,0.8001291149101142
82,0.9459591544128937
83,0.7829241055955343
84,0.8091674827957699
85,0.2794056868895982
86,0.5917657275833906
87,0.4172848902729127
88,0.043142199088616495
89,0.05991487862620992
90,0.32478673365313704
91,0.20289385191216003
92,0.7984282796407179
93,0.7493534125119916
94,0.980545576078392
95,0.38859704316939225
96,0.39273891952440376
97,0.16269535756831632
98,0.786584298674001
