count,left,right
8,5625.0,5950.033333333333
9,5950.033333333333,6275.066666666667
21,6275.066666666667,6600.1
48,6600.1,6925.133333333333
106,6925.133333333333,7250.166666666666
179,7250.166666666666,7575.2
126,7575.2,7900.233333333334
352,7900.233333333334,8225.266666666666
539,8225.266666666666,8550.3
742,8550.3,8875.333333333332
440,8875.333333333332,9200.366666666667
1013,9200.366666666667,9525.4
1106,9525.4,9850.433333333332
581,9850.433333333332,10175.466666666667
1088,10175.466666666667,10500.5
1022,10500.5,10825.533333333333
432,10825.533333333333,11150.566666666666
740,11150.566666666666,11475.599999999999
279,11475.599999999999,11800.633333333333
449,11800.633333333333,12125.666666666666
177,12125.666666666666,12450.699999999999
245,12450.699999999999,12775.733333333334
101,12775.733333333334,13100.766666666666
58,13100.766666666666,13425.8
69,13425.8,13750.833333333332
21,13750.833333333332,14075.866666666665
32,14075.866666666665,14400.9
4,14400.9,14725.933333333332
5,14725.933333333332,15050.966666666665
7,15050.966666666665,15376.0
