x,y
0,16.95350731596825
1,16.668063747238808
2,20.19342370971811
3,16.894277895287527
4,18.56034820504739
5,5.133682163197939
6,11.252758231458461
7,12.637034125848917
8,21.139855276377457
9,15.126788218394296
10,10.833319029338117
11,26.477390771397438
12,19.077461759013232
13,30.31919611387356
14,27.95227688323358
15,27.368254969967403
16,33.918420029348844
17,30.88973635495995
18,19.348057095670917
19,36.36703455505503
20,36.60336778003699
21,40.05070991823676
22,41.230493385084785
23,29.542604153539468
24,33.27850809114149
25,36.934758675964126
26,31.54071733337434
27,29.336495474061138
28,41.62194116840153
29,35.01512413929442
30,38.695521887773445
31,37.037619497449306
32,34.72532553082466
33,35.48618099265053
34,39.45108049378568
35,48.34622537385313
36,37.792715886270486
37,38.41002187404643
38,43.306070736368106
39,56.4442085134296
40,49.26606601273346
41,50.93879203436469
42,43.774396399058396
43,62.55529296633776
44,62.45955965351131
45,51.551373238482185
46,47.89287259706675
47,62.67001254396442
48,66.382570104851
49,51.99691492416225
50,54.4893781780616
51,60.92682299245718
52,65.15372462882685
53,64.51663403289952
54,59.02215139241256
55,55.08208346095372
56,74.25618229783137
57,70.91919108158203
58,58.211049606394624
59,67.56805904711483
60,68.85691724746307
61,62.21387226863635
62,71.21675597276368
63,76.82948635727722
64,74.51043135981374
65,72.75970520453228
66,85.78407193935132
67,77.94566830622327
68,83.78999559254916
69,71.26754498692924
70,77.55058665208148
71,88.98646111141076
72,73.73715764052079
73,92.49607111604824
74,78.63217550908199
75,80.11691660293194
76,88.49293046779187
77,78.11154966325745
78,87.63193514816635
79,96.15676832917357
80,99.07171041659484
81,82.93510489269492
82,97.37931547124174
83,90.1173355200638
84,97.96164942642778
85,93.68017635317713
86,88.99136748267259
87,105.1798368965402
88,90.08284589521043
89,101.286711765896
90,101.2581860620815
91,95.6455121809931
92,103.6073914304937
93,105.08758651213184
94,112.88977231818227
95,103.5793471412574
96,104.24294613669608
97,107.2966121698815
98,111.82171081411967
