x,z
0,0.36126915640533364
1,0.4532719774510955
2,0.3019553269997719
3,0.29674804535716137
4,0.02603042870638894
5,0.07511178464580892
6,0.18289358341802697
7,0.05612454973362391
8,0.3459712187690851
9,0.2609323148569993
10,0.7073189391989924
11,0.6385519140982738
12,0.4405736609666582
13,0.862641163532043
14,0.6698602413260871
15,0.9657168148529608
16,0.9552983627282835
17,0.18167266437387386
18,0.11757847529290344
19,0.37647254381618134
20,0.2670639876732642
21,0.009441977480865948
22,0.09753623100487263
23,0.33698075618632073
24,0.949665037771245
25,0.4032088073525143
26,0.2713152838078339
27,0.5676138573359885
28,0.9057745434321841
29,0.9108825207117206
30,0.9579142246641813
31,0.8025904970732008
32,0.7333113477884713
33,0.3772451828096368
34,0.6557157940437094
35,0.27038775054675
36,0.9613342431992379
37,0.0392647039318228
38,0.9897213882406485
39,0.5112933572275749
40,0.7642580398346884
41,0.3496157676278451
42,0.3320081592741454
43,0.33303193462673175
44,0.6430697776908161
45,0.8552209324962525
46,0.05137175834062335
47,0.5462190852126191
48,0.3483557063620284
49,0.5015701079171038
50,0.46237577831760657
51,0.6184683081850499
52,0.012332513651588384
53,0.9337718767083164
54,0.06453645390122376
55,0.5392949450437305
56,0.055709614429676146
57,0.7217352617202555
58,0.5891294153900818
59,0.9975327843463189
60,0.9400913120158059
61,0.9495758367007187
62,0.7041126992845995
63,0.43879817985555625
64,0.24776114698691343
65,0.27828565376678194
66,0.9669184944855973
67,0.6926079783673835
68,0.8880730704856427
69,0.41590152565045146
70,0.760373071379403
71,0.6370767683464409
72,0.4533073367901074
73,0.910851505599796
74,0.4987635489653378
75,0.8036900607923774
76,0.8767314596708068
77,0.32185504082316496
78,0.34907619329365835
79,0.9154700192877531
80,0.5817395004023196
81,0.11169719357995467
82,0.0766905292615685
83,0.09892074215092783
84,0.2533258902808637
85,0.06239265993541665
86,0.3953200115415425
87,0.9134600762736884
88,0.21178253479246656
89,0.6157011592161769
90,0.37774840548474375
91,0.40161608908652
92,0.12339126247088827
93,0.3056503291881044
94,0.06691908047394857
95,0.07908555762404701
96,0.4440157424216785
97,0.3686680761263438
98,0.4161913862381852
