count,left,right
2,5329.0,5672.2
6,5672.2,6015.4
7,6015.4,6358.6
29,6358.6,6701.8
60,6701.8,7045.0
113,7045.0,7388.2
172,7388.2,7731.4
279,7731.4,8074.6
445,8074.6,8417.8
612,8417.8,8761.0
810,8761.0,9104.2
1011,9104.2,9447.4
548,9447.4,9790.599999999999
1068,9790.599999999999,10133.8
1123,10133.8,10477.0
991,10477.0,10820.2
438,10820.2,11163.4
777,11163.4,11506.599999999999
297,11506.599999999999,11849.8
487,11849.8,12193.0
162,12193.0,12536.2
283,12536.2,12879.4
77,12879.4,13222.599999999999
106,13222.599999999999,13565.8
22,13565.8,13909.0
40,13909.0,14252.199999999999
12,14252.199999999999,14595.4
14,14595.4,14938.6
6,14938.6,15281.8
2,15281.8,15625.0
