count,left,right
3,5329.0,5680.566666666667
1,5680.566666666667,6032.133333333333
15,6032.133333333333,6383.700000000001
43,6383.700000000001,6735.266666666666
75,6735.266666666666,7086.833333333334
141,7086.833333333334,7438.400000000001
244,7438.400000000001,7789.966666666667
359,7789.966666666667,8141.533333333334
512,8141.533333333334,8493.1
727,8493.1,8844.666666666668
482,8844.666666666668,9196.233333333334
977,9196.233333333334,9547.800000000001
1147,9547.800000000001,9899.366666666669
1075,9899.366666666669,10250.933333333334
545,10250.933333333334,10602.5
1025,10602.5,10954.066666666668
832,10954.066666666668,11305.633333333335
345,11305.633333333335,11657.2
547,11657.2,12008.766666666666
364,12008.766666666666,12360.333333333334
155,12360.333333333334,12711.900000000001
191,12711.900000000001,13063.466666666667
60,13063.466666666667,13415.033333333335
74,13415.033333333335,13766.600000000002
13,13766.600000000002,14118.166666666668
31,14118.166666666668,14469.733333333335
5,14469.733333333335,14821.300000000001
7,14821.300000000001,15172.866666666669
1,15172.866666666669,15524.433333333334
3,15524.433333333334,15876.000000000002
