count,left,right
1,5329.0,5697.5
4,5697.5,6066.0
16,6066.0,6434.5
34,6434.5,6803.0
78,6803.0,7171.5
142,7171.5,7540.0
236,7540.0,7908.5
387,7908.5,8277.0
564,8277.0,8645.5
728,8645.5,9014.0
899,9014.0,9382.5
1047,9382.5,9751.0
1122,9751.0,10119.5
1087,10119.5,10488.0
1011,10488.0,10856.5
439,10856.5,11225.0
698,11225.0,11593.5
576,11593.5,11962.0
379,11962.0,12330.5
148,12330.5,12699.0
210,12699.0,13067.5
49,13067.5,13436.0
84,13436.0,13804.5
31,13804.5,14173.0
9,14173.0,14541.5
10,14541.5,14910.0
4,14910.0,15278.5
4,15278.5,15647.0
1,15647.0,16015.5
1,16015.5,16384.0
